# epsilon   charge   density   std   dielectric   std
4.014599999999999724e+00   4.743999999999999884e-01   1.060224993975810776e+03   6.604789666397606673e+00   1.271970502949704951e+02   6.684830674063655387e-01
4.825000000000000178e+00   3.669999999999999929e-01   1.033030181900726802e+03   5.993981800977815411e+00   2.655685731426857288e+01   3.427353310119911345e-02
4.235599999999999810e+00   4.027999999999999914e-01   1.020866840819958952e+03   6.577818685707094382e+00   4.303808819118088280e+01   1.107187371570957646e-01
3.908799999999999830e+00   4.971999999999999753e-01   1.073924927185172464e+03   6.784177640032700296e+00   1.757886911308869173e+02   2.222119683420404335e-01
4.203000000000000291e+00   3.608000000000000096e-01   9.959177255155287867e+02   6.768418851265183278e+00   2.270402359764023714e+01   3.471294490879811567e-02
4.494799999999999685e+00   3.654999999999999916e-01   1.015674840451939644e+03   6.359776104614812020e+00   2.529230676932306565e+01   4.695218666248091727e-02
4.568100000000000271e+00   4.389000000000000123e-01   1.058423048036620685e+03   6.082612103162879258e+00   7.812737526247374831e+01   2.177611491340602778e-01
4.345100000000000406e+00   4.847000000000000197e-01   1.080123316187635965e+03   6.280505472033926395e+00   1.595115088491151027e+02   2.854161644125918218e-01
4.879500000000000171e+00   4.303000000000000158e-01   1.065252907503165716e+03   5.837059999371883912e+00   6.977258374162585142e+01   4.964236295440033198e-01
3.530299999999999994e+00   3.592000000000000193e-01   9.404088225337234235e+02   8.202267559290751464e+00   2.006083191680831845e+01   6.300405458481284082e-02
4.554199999999999804e+00   4.550000000000000155e-01   1.067811118042947101e+03   6.089467374775058950e+00   1.022451854814518697e+02   2.313692177488143042e-01
3.653700000000000170e+00   4.365999999999999881e-01   1.011232514337335033e+03   7.281227852662450317e+00   6.703797720227976242e+01   1.160998275761669918e-01
4.987800000000000011e+00   4.010000000000000231e-01   1.054658553262846226e+03   5.783851702057885902e+00   4.511714728527147145e+01   8.644966078877601434e-02
4.817000000000000171e+00   3.543000000000000038e-01   1.027848762021178572e+03   6.013739112792791275e+00   2.235939106089391260e+01   2.990501170559691987e-02
3.727199999999999847e+00   4.935999999999999832e-01   1.063822779544639161e+03   7.045016835362076790e+00   1.614569743025697335e+02   3.427095844204697261e-01
3.804100000000000037e+00   4.219999999999999862e-01   1.008709433971384328e+03   7.118585551273824308e+00   5.414596140385961576e+01   9.120814775866910307e-02
3.960199999999999942e+00   4.798999999999999932e-01   1.062237984891074120e+03   6.708336507511875269e+00   1.367860013998599982e+02   2.683073251254408098e-01
3.701600000000000001e+00   4.995999999999999885e-01   1.067820809544197118e+03   7.046633731966064573e+00   1.731737026297370505e+02   3.064522603331505946e-01
4.940400000000000347e+00   3.602000000000000202e-01   1.035710560394824142e+03   5.894582749673443089e+00   2.444764123587641436e+01   5.268802589417441451e-02
4.455300000000000260e+00   4.258000000000000118e-01   1.045768404758980523e+03   6.213389616891061173e+00   6.259504949505048899e+01   9.067446092593296758e-02
4.091700000000000337e+00   3.744999999999999996e-01   9.956332814803605515e+02   6.910499463305602497e+00   2.725767823217678654e+01   2.966244880362358532e-02
4.775199999999999889e+00   4.621000000000000107e-01   1.079752292575312822e+03   5.890989944894918118e+00   1.193317468253174667e+02   1.658622538959476089e-01
3.937699999999999978e+00   3.734000000000000097e-01   9.842545639646581321e+02   7.164610150953858891e+00   2.609814918508149617e+01   7.634409800014597958e-02
3.984799999999999898e+00   4.188000000000000056e-01   1.017226567803253488e+03   6.858022626664407539e+00   5.324538946105389670e+01   6.562012042734345629e-02
3.792100000000000026e+00   3.896000000000000019e-01   9.838657838433744018e+02   7.320729618692975116e+00   3.251538746125387291e+01   3.626652496009041826e-02
3.551400000000000112e+00   4.253000000000000114e-01   9.946407298190904385e+02   7.545668590328244996e+00   5.433103689631036559e+01   1.541453167003790092e-01
4.414799999999999613e+00   3.503999999999999893e-01   1.004657064199251522e+03   6.500177717908074193e+00   2.012439556044395772e+01   2.828033130241801654e-02
3.529700000000000060e+00   4.141000000000000236e-01   9.831672603877558458e+02   7.704015281176058494e+00   4.576040495950405074e+01   5.343557293933828140e-02
4.435800000000000409e+00   3.627000000000000224e-01   1.011057757498391993e+03   6.438074188879610027e+00   2.379493050694930645e+01   4.474189855699389068e-02
3.953300000000000036e+00   4.240999999999999770e-01   1.019238108213246164e+03   6.844734183486097301e+00   5.740203379662033711e+01   1.190343914129035757e-01
3.834499999999999797e+00   3.508999999999999897e-01   9.635690178930848333e+02   7.511570046295959813e+00   1.873191080891911042e+01   1.782320615062957594e-02
4.892999999999999794e+00   4.393000000000000238e-01   1.070602113851558670e+03   5.823405522186966721e+00   8.302230176982301657e+01   1.200133367829043368e-01
3.758900000000000130e+00   4.093999999999999861e-01   9.959906062808460092e+02   7.263444321767633660e+00   4.415782921707829445e+01   6.482959927828273183e-02
4.706400000000000361e+00   4.808999999999999941e-01   1.089117605844148102e+03   5.925419644145600628e+00   1.603584741525847335e+02   2.758202745891920604e-01
3.686799999999999855e+00   3.533999999999999919e-01   9.518920637272016165e+02   7.841047684502644444e+00   1.890034696530346991e+01   1.383945266239611400e-02
4.631199999999999761e+00   4.439000000000000168e-01   1.063884849584944050e+03   6.009939758423099576e+00   8.678896210378961484e+01   3.444657559149151282e-01
3.892199999999999882e+00   4.418000000000000260e-01   1.029257807244135392e+03   6.890794255140126445e+00   7.547495250474952400e+01   2.325413354582490932e-01
3.669900000000000162e+00   4.128000000000000003e-01   9.924691375981074088e+02   7.432867581305706572e+00   4.583075892410759167e+01   4.694905276197606364e-02
4.271499999999999631e+00   3.991999999999999993e-01   1.020692106066968108e+03   6.526443249950165004e+00   4.054162883711628496e+01   5.994078189850467198e-02
4.509900000000000020e+00   4.875999999999999779e-01   1.087466865237304091e+03   6.107463244798829294e+00   1.713616838316168014e+02   4.251724911877883262e-01
4.540300000000000225e+00   4.632999999999999896e-01   1.072606251554854907e+03   6.068906307313632453e+00   1.160492050794920402e+02   3.575791265650451467e-01
4.070500000000000007e+00   4.428000000000000269e-01   1.039093744289787992e+03   6.628126731414893946e+00   7.835760023997599433e+01   1.113349946236115579e-01
3.867599999999999927e+00   4.697999999999999954e-01   1.050233142419218893e+03   6.832772122735590870e+00   1.170282871712828836e+02   3.770126550531163745e-01
3.972599999999999909e+00   4.794999999999999818e-01   1.062455634850437718e+03   6.659895874806695204e+00   1.382014598540146153e+02   3.559145980330508108e-01
4.396300000000000097e+00   4.759999999999999787e-01   1.075899881822032512e+03   6.221276050551852066e+00   1.380454154584541584e+02   2.812851182434609743e-01
4.996900000000000119e+00   4.480000000000000093e-01   1.078753920997873820e+03   5.743117524866296897e+00   9.680241975802420029e+01   1.692947669414800738e-01
4.743299999999999628e+00   4.525000000000000133e-01   1.073004176007347269e+03   5.933023772887007219e+00   1.013492550744925467e+02   1.658220291033827842e-01
4.713300000000000267e+00   4.611999999999999988e-01   1.077179433386987284e+03   5.925159604791813805e+00   1.159771922807719307e+02   1.204379732221854959e-01
4.667600000000000193e+00   3.875000000000000111e-01   1.034631987245383016e+03   6.099859440899428442e+00   3.506079192080791529e+01   5.543487617168939285e-02
4.038899999999999935e+00   4.470999999999999974e-01   1.040710695949015872e+03   6.658573980125922276e+00   8.394818718128188095e+01   1.423225835483784285e-01
3.713799999999999990e+00   3.806999999999999829e-01   9.715935416088547072e+02   7.599362872724315210e+00   2.661821317868213299e+01   3.819752668957068081e-02
4.321900000000000297e+00   4.576999999999999957e-01   1.060709132169188251e+03   6.314000527206420799e+00   1.004606459354064611e+02   2.963667312668330500e-01
4.055500000000000327e+00   4.012999999999999901e-01   1.009531696466160611e+03   6.806095344001150238e+00   3.935572342765723164e+01   7.076099482236763993e-02
4.210700000000000109e+00   3.637000000000000233e-01   9.978203086344703934e+02   6.767653678598166245e+00   2.235746225377462082e+01   2.827117390828670640e-02
3.875199999999999978e+00   3.517000000000000126e-01   9.674339272733142252e+02   7.404974920321585330e+00   1.798717528247175323e+01   5.087407351340295786e-02
