# sigma        epsilon        charge       dG        uncertainty
4.359999999999999987e-01     4.629299999999999748e+00     1.000000000000000000e+00     -1.154165403306999451e+02     5.686437568627508016e-02
3.154000000000000137e-01     7.568000000000000282e-01     1.000000000000000000e+00     -2.373713268818738982e+02     5.289435294396845760e-02
4.879000000000000004e-01     1.302599999999999980e+00     1.000000000000000000e+00     -6.860881006394643578e+01     5.837461129326304565e-02
2.763999999999999790e-01     2.147600000000000176e+00     1.000000000000000000e+00     -2.749309411001208332e+02     2.710959144866341708e-01
4.601000000000000090e-01     5.593399999999999928e+00     1.000000000000000000e+00     -1.154825888540340912e+02     6.592456367218386959e-02
3.372999999999999887e-01     5.306799999999999962e+00     1.000000000000000000e+00     -1.821071178088269278e+02     5.267433792555790278e-02
3.519999999999999796e-01     3.683199999999999807e+00     1.000000000000000000e+00     -1.643148463810517512e+02     5.141611602231962314e-02
4.698999999999999844e-01     4.136700000000000266e+00     1.000000000000000000e+00     -9.742703341037181985e+01     6.116903630600813851e-02
4.638999999999999790e-01     2.394800000000000040e+00     1.000000000000000000e+00     -8.567483448100905719e+01     5.825882748107708009e-02
3.613999999999999990e-01     3.546699999999999964e+00     1.000000000000000000e+00     -1.555491333689404883e+02     5.128603700450048986e-02
4.556000000000000050e-01     3.351999999999999869e+00     1.000000000000000000e+00     -9.650583960881765222e+01     5.707156663931147594e-02
3.854000000000000203e-01     1.255900000000000016e+00     1.000000000000000000e+00     -1.374290597577272024e+02     4.862616860556790571e-02
4.764999999999999791e-01     3.801000000000000156e+00     1.000000000000000000e+00     -9.163348370889423222e+01     6.444676283028019648e-02
3.395000000000000240e-01     4.479599999999999582e+00     1.000000000000000000e+00     -1.778567005943449431e+02     5.219222592570822716e-02
4.434000000000000163e-01     3.466899999999999871e+00     1.000000000000000000e+00     -1.030008178440746605e+02     5.573569160753213958e-02
3.998999999999999777e-01     5.317700000000000315e+00     1.000000000000000000e+00     -1.374662456207628622e+02     5.445530286223925626e-02
2.562999999999999723e-01     5.883099999999999774e+00     1.000000000000000000e+00     -2.963658510105619825e+02     7.841515882443139684e-01
