# epsilon      dG      uncertainty)
4.473600000000000243e+00     -1.482198339549515786e+01     5.901925581023442086e-02
4.301499999999999879e+00     -1.287747046791682592e+01     5.835724333181193518e-02
5.327499999999999680e+00     -2.419212169071415630e+01     6.069040639964952411e-02
5.083800000000000097e+00     -2.146079514437982638e+01     6.013452421785946828e-02
2.719700000000000006e+00     3.417255093289601753e+00     5.232899342118668001e-02
4.609099999999999753e+00     -1.631566578377278987e+01     5.899708714055906106e-02
5.685399999999999565e+00     -2.833190030598770193e+01     6.162240659181066060e-02
2.015800000000000036e+00     1.023728773692686289e+01     4.965911240809398053e-02
6.216199999999999726e+00     -3.425707259952225314e+01     6.340755821565555173e-02
5.930699999999999861e+00     -3.112583268579083651e+01     6.234851081476318335e-02
3.209099999999999842e+00     -1.404810526246333069e+00     5.432200941341536887e-02
4.655199999999999783e+00     -1.686132089578902793e+01     5.904823863060372491e-02
5.989300000000000068e+00     -3.159718649584421257e+01     6.267823495804654421e-02
4.326200000000000045e+00     -1.333005014101388319e+01     5.828839602354272953e-02
3.486499999999999932e+00     -4.231954124048466603e+00     5.222974880269308506e-02
1.667399999999999993e+00     1.331394331456561098e+01     4.549944000526549154e-02
3.525399999999999867e+00     -4.602214481670239721e+00     5.526870959831015062e-02
4.760299999999999976e+00     -1.786092549008117913e+01     5.951613670183559385e-02
6.480100000000000193e+00     -3.733107280470471778e+01     6.439932083360005999e-02
1.960599999999999898e+00     1.078348399505786581e+01     4.678119595710562850e-02
3.239300000000000068e+00     -1.617348906294862498e+00     5.450269095494429672e-02
4.048199999999999577e+00     -1.038752690390324140e+01     5.739341994162405758e-02
3.035800000000000054e+00     2.400399928367416280e-01     5.359030808303863469e-02
5.717200000000000060e+00     -2.855297272810316400e+01     6.182767748687895831e-02
3.704000000000000181e+00     -6.626428305646379968e+00     5.290636501912807793e-02
1.985600000000000032e+00     1.054913878766918600e+01     4.959137866765862129e-02
1.841900000000000093e+00     1.176400468502218288e+01     4.865041572212132348e-02
2.433100000000000041e+00     6.359242335802943735e+00     5.142069461507548650e-02
4.204699999999999882e+00     -1.196251608323420790e+01     5.801596205535636264e-02
4.808699999999999974e+00     -1.839116560176550408e+01     5.954524861874944258e-02
2.397600000000000176e+00     6.543383522056781310e+00     5.117606396566055926e-02
2.419500000000000206e+00     6.469042705428914353e+00     5.139538956954835258e-02
6.252900000000000347e+00     -3.472400437546883012e+01     6.352393675642990789e-02
2.667600000000000193e+00     3.956693233595296899e+00     5.220299155916827138e-02
5.407399999999999984e+00     -2.513926820167275622e+01     6.084416626452635729e-02
3.627899999999999903e+00     -5.703442352998256304e+00     5.271391622749440481e-02
5.727100000000000080e+00     -2.882300262168845961e+01     6.173385796900234673e-02
2.096099999999999852e+00     9.467513110133101151e+00     5.005706723667673053e-02
4.394300000000000317e+00     -1.401611425685152845e+01     5.845284964098284436e-02
3.073900000000000077e+00     -1.191798405219659934e-01     5.370546754482437291e-02
2.978299999999999947e+00     8.509600248463310423e-01     5.336902393551459095e-02
2.515499999999999847e+00     5.442409188291077449e+00     5.160885146556233594e-02
2.289400000000000102e+00     7.602401788482114675e+00     5.078692031487164887e-02
3.372900000000000009e+00     -3.084897280165879607e+00     5.178177246745666734e-02
1.695000000000000062e+00     1.303750567238967761e+01     4.769090744363461976e-02
2.897600000000000176e+00     1.609631021748945789e+00     5.305155636034878525e-02
6.112300000000000288e+00     -3.319915097857371222e+01     6.298014810591490154e-02
4.247099999999999653e+00     -1.241692972390410254e+01     5.808884878683000241e-02
5.582300000000000040e+00     -2.728229434578473800e+01     6.123674586321138646e-02
5.228299999999999947e+00     -2.316367430068137168e+01     6.033699378050978723e-02
6.194899999999999629e+00     -3.416512495516788306e+01     6.327701583627340365e-02
2.777699999999999836e+00     2.981846526298285838e+00     5.269240554696127954e-02
4.541100000000000136e+00     -1.548439911449967887e+01     5.897114311714903717e-02
6.035099999999999909e+00     -3.229454610855012930e+01     6.278267566297236757e-02
1.515800000000000036e+00     1.455160841704818075e+01     4.469047249111290920e-02
5.312800000000000189e+00     -2.411469648258163545e+01     6.059455998072590249e-02
3.076999999999999957e+00     -6.627029023915714800e-02     5.382810570807964462e-02
4.168599999999999639e+00     -1.149919323715241326e+01     5.792751796820140575e-02
5.607700000000000351e+00     -2.737971586452540507e+01     6.150043661405479173e-02
5.491200000000000081e+00     -2.615798843529762152e+01     6.104956971466494325e-02
6.160899999999999821e+00     -3.373065211539270081e+01     6.319870113699703473e-02
6.372300000000000075e+00     -3.612594607760687637e+01     6.400924842224521571e-02
3.005100000000000104e+00     5.762487722822873248e-01     5.343673535736383207e-02
2.595200000000000173e+00     4.709835047996531188e+00     5.194809426248619272e-02
1.854500000000000037e+00     1.162018979501461757e+01     4.628073106135931897e-02
3.603699999999999903e+00     -5.680239660927028034e+00     5.244733971546249734e-02
5.471199999999999619e+00     -2.589145500002121736e+01     6.091087249300959627e-02
4.122200000000000308e+00     -1.099765522141462171e+01     5.774767967681668918e-02
5.104899999999999771e+00     -2.181544430187328842e+01     6.007025073394257897e-02
5.875200000000000422e+00     -3.038780225795448331e+01     6.225601878643644005e-02
3.421600000000000197e+00     -3.631440195455470032e+00     5.495641606880956320e-02
6.072600000000000442e+00     -3.256459963769449217e+01     6.297781873718466539e-02
4.434000000000000163e+00     -1.435173991462292520e+01     5.873128531047139972e-02
2.915500000000000203e+00     1.525924386781265074e+00     5.314731061798266126e-02
1.545400000000000107e+00     1.423895263344294548e+01     4.726742322768534565e-02
6.290399999999999991e+00     -3.504293457280603974e+01     6.382415919882292177e-02
1.886800000000000033e+00     1.134641936358386261e+01     4.639008097062077840e-02
4.939400000000000013e+00     -1.987931826149616299e+01     5.973201034074247795e-02
5.371100000000000207e+00     -2.472517740621412230e+01     6.078568897915409552e-02
4.283299999999999663e+00     -1.278078324885270511e+01     5.820415416856633550e-02
5.808099999999999596e+00     -2.951962865890989463e+01     6.209719301099995287e-02
6.144800000000000040e+00     -3.341093077153767865e+01     6.327050967445507768e-02
2.221400000000000041e+00     8.255708381803055218e+00     5.055587327965341965e-02
3.936199999999999921e+00     -9.150735363438919023e+00     5.341566253330944092e-02
3.964300000000000157e+00     -9.281143736806193090e+00     5.358944194210121109e-02
3.758599999999999941e+00     -7.244864920313736967e+00     5.294321785642443212e-02
6.335300000000000153e+00     -3.562744830909036864e+01     6.391357213725905317e-02
5.913400000000000212e+00     -3.082402376226386664e+01     6.237337666396164382e-02
3.879700000000000149e+00     -8.380143461820150463e+00     5.335882870140629120e-02
3.504500000000000171e+00     -4.435668939418381918e+00     5.521096663655804954e-02
4.263700000000000045e+00     -1.244277577904180276e+01     5.827684168637040779e-02
2.491299999999999848e+00     5.702391126563635559e+00     5.157373063055535611e-02
2.928199999999999914e+00     1.441327818845567599e+00     5.327652748611454853e-02
1.741999999999999993e+00     1.261731306574212930e+01     4.579223276380994800e-02
4.594299999999999606e+00     -1.613011860735099390e+01     5.912061352899167926e-02
1.592400000000000038e+00     1.386688377247343062e+01     4.505006243946500094e-02
4.910800000000000054e+00     -1.970575868836635891e+01     5.961933001871961429e-02
5.664699999999999847e+00     -2.802421238112302504e+01     6.153787643359594217e-02
5.540199999999999569e+00     -2.665317231964890254e+01     6.119634132396018639e-02
5.008499999999999730e+00     -2.075341796628133650e+01     5.988001655194901546e-02
5.832099999999999618e+00     -2.993131829634277352e+01     6.210401569831372481e-02
1.624500000000000055e+00     1.363324102515649550e+01     4.521251277816440428e-02
3.560400000000000009e+00     -5.002657726675096228e+00     5.534333210796860830e-02
4.702200000000000379e+00     -1.744760163868528835e+01     5.914761685932110741e-02
6.236500000000000377e+00     -3.457181317076460658e+01     6.351042509462030694e-02
2.637999999999999901e+00     4.190143748258441825e+00     5.202605401647034805e-02
6.460200000000000387e+00     -3.716841420951989505e+01     6.431927320462879627e-02
3.378099999999999881e+00     -3.154986726810360853e+00     5.486729132184176710e-02
4.128000000000000114e+00     -1.117064566798254788e+01     5.766553028692616989e-02
5.522700000000000387e+00     -2.642931613443397154e+01     6.115511237140889428e-02
5.131400000000000183e+00     -2.204986782973873360e+01     6.015421913736558601e-02
3.271300000000000097e+00     -2.013292788686888102e+00     5.457088144563682075e-02
3.903999999999999915e+00     -8.712543188414393569e+00     5.336178042389776860e-02
4.096599999999999575e+00     -1.077485350103766848e+01     5.763210600670771316e-02
2.848399999999999821e+00     2.262130005738854699e+00     5.292607398077484732e-02
2.861099999999999977e+00     2.090239923263541577e+00     5.299007590514483168e-02
3.747100000000000097e+00     -7.036184798761857095e+00     5.301515499457154501e-02
5.155400000000000205e+00     -2.236504673830008016e+01     6.367655490745710578e-02
4.725399999999999601e+00     -1.770973712172403935e+01     5.918022719523663433e-02
4.557100000000000151e+00     -1.581397832940785619e+01     5.891486619355785354e-02
2.245600000000000041e+00     8.107144565447633511e+00     5.066290175089482872e-02
4.181799999999999962e+00     -1.159840489662878937e+01     5.808063437842204274e-02
5.782000000000000028e+00     -2.942940950859658500e+01     6.183703249686695741e-02
5.853600000000000136e+00     -3.014123210868160641e+01     6.221436301754487003e-02
5.063799999999999635e+00     -2.141338332416451351e+01     5.991449426683827240e-02
2.745099999999999874e+00     3.226950247473491462e+00     5.247496785372417899e-02
5.774000000000000021e+00     -2.934989779579005287e+01     6.187313842924282992e-02
