# epsilon      dG      uncertainty)
1.441500000000000004e+00     9.201295616128181365e+00     3.614283543075490907e-02
5.638300000000000090e+00     -2.677822594189875005e+01     4.874831234908996724e-02
5.930699999999999861e+00     -2.945876486086250878e+01     4.955490436106679136e-02
2.764299999999999979e+00     -1.113036416250484661e+00     4.091897096323287436e-02
2.442400000000000126e+00     1.630119953079989248e+00     3.992185696185539256e-02
2.540200000000000014e+00     7.450023117045821985e-01     4.018564281805267480e-02
3.115499999999999936e+00     -4.045533072988194867e+00     4.207611103652001555e-02
4.540399999999999991e+00     -1.657036528782512619e+01     4.580985835181668187e-02
3.669099999999999806e+00     -8.840956567291781809e+00     4.353302102045500388e-02
2.454899999999999860e+00     1.544636750012156723e+00     3.998550727829551510e-02
1.963500000000000023e+00     5.263417255423965990e+00     3.808140861935247617e-02
2.601300000000000168e+00     2.674527997283856484e-01     4.043192452445316942e-02
4.893799999999999706e+00     -1.985098025030814739e+01     4.671471979433734073e-02
1.508599999999999941e+00     8.679104423339694563e+00     3.637933125995163747e-02
4.745599999999999596e+00     -1.848161493394918509e+01     4.631022749456627230e-02
2.476599999999999913e+00     1.300323113721326918e+00     3.998192484819929060e-02
4.591099999999999959e+00     -1.707514908945196197e+01     4.596147179347124384e-02
4.294200000000000017e+00     -1.444268400318166456e+01     4.506391407458602838e-02
4.182100000000000151e+00     -1.340530354577291838e+01     4.486879875430393322e-02
4.203999999999999737e+00     -1.363440569186456131e+01     4.488993883907083093e-02
4.335600000000000342e+00     -1.479620751925831534e+01     4.521439634565149052e-02
4.321200000000000152e+00     -1.473327584491922870e+01     4.511782524968006858e-02
4.427900000000000169e+00     -1.565237663763715226e+01     4.542980845574656756e-02
5.838599999999999568e+00     -2.868593939580815544e+01     4.926968148231061773e-02
2.846900000000000208e+00     -1.806994179376709697e+00     4.117634302501983756e-02
2.057300000000000129e+00     4.647512062169579572e+00     3.852253886750161421e-02
3.141199999999999992e+00     -4.197430406773718481e+00     4.217634485432280450e-02
1.666600000000000081e+00     7.477208912394062601e+00     3.697592557454989354e-02
2.803799999999999848e+00     -1.344630988974675478e+00     4.114602524877134654e-02
4.782000000000000028e+00     -1.877784676175737744e+01     4.645016916573675714e-02
2.864100000000000090e+00     -1.999267589247974986e+00     4.119019258772772113e-02
4.103699999999999903e+00     -1.268051542177687097e+01     4.466868850873566277e-02
1.477200000000000069e+00     8.920650889368641145e+00     3.625887146535738265e-02
1.726299999999999946e+00     7.122443428904739804e+00     3.724181323807997795e-02
3.582300000000000040e+00     -8.045329324037460594e+00     4.331605764492953148e-02
3.625199999999999978e+00     -8.313618684330174702e+00     4.352725668113933966e-02
4.980500000000000149e+00     -2.066408146980424121e+01     4.693177793238653694e-02
1.566699999999999982e+00     8.330357511259531833e+00     3.667355426200730878e-02
1.189599999999999991e+00     1.069444249676221581e+01     3.475942412707957313e-02
3.159100000000000019e+00     -4.407470186623123176e+00     4.213449641066505102e-02
4.357300000000000395e+00     -1.494110399801935962e+01     4.529786791349458414e-02
3.789600000000000080e+00     -9.859194307255624068e+00     4.384283810191594993e-02
5.117499999999999716e+00     -2.195146385942974376e+01     4.731185059102064466e-02
4.054400000000000226e+00     -1.220196255676598796e+01     4.455745772200242483e-02
3.475600000000000023e+00     -7.201702843000125753e+00     4.298597483650280771e-02
1.417300000000000004e+00     9.272576107916034260e+00     3.593644326790181726e-02
4.759299999999999642e+00     -1.853236407782015860e+01     4.638620732477697489e-02
2.592200000000000060e+00     4.335225615892619455e-01     4.049945835835319641e-02
1.937899999999999956e+00     5.515800106225843713e+00     3.804357628194444951e-02
2.385899999999999910e+00     2.070029198015407967e+00     3.971199806205513022e-02
1.159999999999999920e+00     1.089081106501388163e+01     3.460050784273167868e-02
5.408999999999999808e+00     -2.465021896462566531e+01     4.810255063177064361e-02
3.799999999999999822e+00     -9.973258189325525436e+00     4.390588122187251419e-02
2.940100000000000158e+00     -2.536525005693304191e+00     4.153105041284225335e-02
3.683800000000000185e+00     -8.971876445209851170e+00     4.357566250998778923e-02
4.001500000000000057e+00     -1.176673904602538911e+01     4.438064167583205544e-02
5.453700000000000436e+00     -2.503870128894798697e+01     4.825591320289315811e-02
5.225399999999999601e+00     -2.293990660278777582e+01     4.757314271061970773e-02
5.821200000000000152e+00     -2.856316992619747808e+01     4.920488025833913426e-02
1.610899999999999999e+00     7.892319806449266117e+00     3.672366016168744640e-02
3.954400000000000137e+00     -1.125168539041368376e+01     4.437516462958027152e-02
4.422200000000000131e+00     -1.552084897461129920e+01     4.548816158687208483e-02
2.516900000000000137e+00     9.886088960436341111e-01     4.010900804439295614e-02
4.606799999999999784e+00     -1.726251216817577117e+01     4.593145373592927294e-02
2.371500000000000163e+00     2.145960190305115312e+00     3.964875005446673317e-02
2.693999999999999950e+00     -4.806379153811961569e-01     4.074805084979055830e-02
5.505899999999999572e+00     -2.554892799826444971e+01     4.837667455665051186e-02
1.007500000000000062e+00     1.189046364219916896e+01     3.389454749906904707e-02
1.053199999999999914e+00     1.157868441190830922e+01     3.408729422963181765e-02
4.926000000000000156e+00     -2.021145706037026812e+01     4.676908232321104475e-02
5.278200000000000003e+00     -2.346676544458322411e+01     4.771704839937623149e-02
5.495099999999999874e+00     -2.547006199941317917e+01     4.825512928070876950e-02
3.992900000000000116e+00     -1.166931969020907189e+01     4.437752260841681951e-02
5.962399999999999700e+00     -2.993961895880174851e+01     4.956027279236283056e-02
5.373099999999999987e+00     -2.438292802558522965e+01     4.790308106971999380e-02
5.184199999999999697e+00     -2.252823578550082573e+01     4.752760668579960462e-02
4.519199999999999662e+00     -1.639780076435415879e+01     4.573262665603804178e-02
4.031699999999999839e+00     -1.205944389388459115e+01     4.443995157454757455e-02
3.731399999999999828e+00     -9.399337445388169954e+00     4.368224504538551628e-02
2.417699999999999960e+00     1.819019579645064555e+00     3.985668849458504082e-02
2.719700000000000006e+00     -6.550078416258899860e-01     4.084223594872718466e-02
3.751199999999999868e+00     -9.496880151311346552e+00     4.381638913618084857e-02
