# epsilon      dG      uncertainty)
5.201100000000000279e+00     -2.131928548412592761e+01     3.882967347837038008e-02
1.269500000000000073e+00     5.450598973717629470e+00     2.753997148211730084e-02
1.964699999999999891e+00     1.424329120358813316e+00     3.030988767359877462e-02
5.813600000000000101e+00     -2.600763348287398102e+01     4.004772580157082290e-02
1.293299999999999894e+00     5.306444552363878131e+00     2.763664916222363307e-02
2.516799999999999926e+00     -2.207002336312039237e+00     3.204510996936957984e-02
5.312199999999999811e+00     -2.215389302394588000e+01     3.904874245498086288e-02
9.415999999999999925e-01     7.095329720481862168e+00     2.590561294700696390e-02
3.953699999999999992e+00     -1.212909144953577822e+01     3.596228444108575534e-02
4.183500000000000441e+00     -1.382492251885788725e+01     3.647443565208804972e-02
4.049699999999999633e+00     -1.283025141332408303e+01     3.618690889923735499e-02
1.851199999999999957e+00     2.151960881223891064e+00     2.999208107230929427e-02
2.740099999999999980e+00     -3.651336423958815747e+00     3.224047594748907092e-02
8.924999999999999600e-01     7.260782066556948244e+00     2.558986100556244134e-02
3.996399999999999952e+00     -1.251245551061110284e+01     3.596139614580942667e-02
4.692300000000000360e+00     -1.754859270381590974e+01     3.765446859436866883e-02
1.657100000000000017e+00     3.224963770243826744e+00     2.911090438742798894e-02
3.391599999999999948e+00     -8.154678932195640328e+00     3.448714116009908570e-02
3.488799999999999901e+00     -8.827863298699703876e+00     3.479353820340492370e-02
4.974300000000000388e+00     -1.964673510379248000e+01     3.831040281485038196e-02
5.406699999999999839e+00     -2.287786465981272599e+01     3.924531507198203428e-02
2.711800000000000210e+00     -3.507190684557838889e+00     3.263849065070624500e-02
2.998200000000000198e+00     -5.375219212834255522e+00     3.349791150952264457e-02
1.405299999999999994e+00     4.754845507788511227e+00     2.819196599058047814e-02
5.267000000000000348e+00     -2.177362232486812132e+01     3.899733038130059198e-02
4.590399999999999814e+00     -1.680277715864305677e+01     3.739571560595783550e-02
3.988700000000000134e+00     -1.232726188752597807e+01     3.608327722788313291e-02
7.116999999999999993e-01     7.970582543644243678e+00     2.438428225415318132e-02
2.821699999999999875e+00     -4.203643648324296933e+00     3.295404585349995946e-02
3.007400000000000073e+00     -5.466531448392365711e+00     3.351605487255406024e-02
2.903399999999999981e+00     -4.806540318328812234e+00     3.313286832935683629e-02
3.156499999999999861e+00     -6.451042096874207488e+00     3.396353821040502124e-02
3.095899999999999874e+00     -6.122548305330659524e+00     3.370742423198991311e-02
2.599499999999999922e+00     -2.726321985085955468e+00     3.233207208348922584e-02
4.480100000000000193e+00     -1.593975987555757357e+01     3.721417152538562811e-02
3.069199999999999928e+00     -5.952630709328103009e+00     3.363089440959182719e-02
4.710300000000000153e+00     -1.766063798381027183e+01     3.771542460222707116e-02
3.588200000000000056e+00     -9.515813655594280718e+00     3.506623304324707480e-02
5.571799999999999642e+00     -2.415986802981167259e+01     3.953943197902496515e-02
4.188100000000000378e+00     -1.381084080451123874e+01     3.656948823662501541e-02
5.363999999999999879e-01     8.460275326884969971e+00     2.300596126850237497e-02
2.661599999999999966e+00     -3.170842526743343104e+00     3.247498406253810505e-02
4.339500000000000135e+00     -1.497055953616440505e+01     3.685700564362085624e-02
4.493900000000000006e+00     -1.614904187631807275e+01     3.712982924948633051e-02
5.732899999999999885e+00     -2.533667136480291049e+01     3.994536896140943316e-02
6.640000000000000346e-01     8.150114652230737278e+00     2.405135298628547844e-02
5.477500000000000036e+00     -2.336189537471002708e+01     3.946868884337653705e-02
4.214900000000000091e+00     -1.397468531563928806e+01     3.662046746506653072e-02
9.322000000000000286e-01     7.110771541792671790e+00     2.582447521668225152e-02
5.886599999999999611e+00     -2.657050204075348532e+01     4.020876666210359413e-02
